"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ndufb8",0.0547522772210623,0.264531330569554,0.537,0.5,1
"Gpr84",0.0549850360600936,-0.523099141896507,0.07,0.1,1
"Eif5",0.0550239168390495,-0.187142863183075,0.504,0.553,1
"Cyp4f18",0.0550733001424494,-0.296064661112629,0.139,0.181,1
"Fus",0.0555710067782298,-0.140010971155241,0.584,0.645,1
"Ssna1",0.0562461646795166,0.563480855108376,0.147,0.112,1
"Birc2",0.0564338097409211,-0.390934761704686,0.112,0.15,1
"Casp4",0.056525204680966,-0.360479524624018,0.196,0.238,1
"Sash3",0.0566364216936617,-0.474618142106302,0.077,0.108,1
"Rasgef1b",0.0568398099990845,-0.501391228408739,0.245,0.284,1
"Isca2",0.0568865940469052,0.635679231876614,0.123,0.091,1
"Samd9l",0.0571771670403929,-0.229599495101067,0.154,0.196,1
"Plaur",0.0572531766308985,-0.744133799237691,0.075,0.105,1
"Rps6ka3",0.0573175963291224,-0.114653067576815,0.123,0.164,1
"Sdc4",0.0574526665101873,-0.0999934035931218,0.383,0.446,1
"Fam98b",0.0574984685616988,-0.343550756257365,0.09,0.124,1
"Map3k8",0.0575076078899156,-0.305323617287238,0.192,0.238,1
"Epsti1",0.057607649187301,-0.150058588980545,0.335,0.401,1
"Rnf149",0.057838043843541,0.810203164004966,0.101,0.072,1
"Exosc4",0.0579999436203553,0.802642401011023,0.11,0.081,1
"Tbk1",0.0580112390433271,-0.353897444592767,0.103,0.138,1
"Eps15",0.0580557622998674,0.532914823741339,0.277,0.239,1
"Ndufc2",0.0580625019091393,0.223812017472689,0.615,0.574,1
"Id2",0.0580988306265732,-0.399340034650489,0.357,0.407,1
"Clec4n",0.0581721182925479,0.549686649867507,0.31,0.28,1
"Rif1",0.0582807159079311,-0.420610288977285,0.108,0.142,1
"Fgl2",0.058323709958952,-0.206902251635831,0.255,0.315,1
"Ndel1",0.058327367692438,-0.39699670279955,0.189,0.231,1
"Prrc2a",0.0583837941132325,-0.308705745908662,0.189,0.231,1
"Myo9b",0.0584228269715328,0.328720687794415,0.2,0.159,1
"Nadk",0.0584427634476037,-0.221765297559513,0.201,0.249,1
"Plagl2",0.0584428900785522,-0.628885824723099,0.077,0.108,1
"Pom121",0.0585525890508965,-0.47091707311742,0.099,0.132,1
"Uimc1",0.0585549614293257,-0.276018828772756,0.09,0.124,1
"Erp29",0.0585749158895804,0.259202728003217,0.615,0.616,1
"Lyar",0.0585946217482232,-0.573518003161153,0.088,0.119,1
"Man2a1",0.0591580850958846,-0.256674973706603,0.126,0.168,1
"Stag1",0.0591808605506747,-0.301005455158645,0.203,0.249,1
"Zfp869",0.0592249635519109,-0.384720871015285,0.11,0.146,1
"Rpf1",0.059373717462284,-0.116906763894624,0.084,0.119,1
"Rps4x",0.0594007586217486,0.146795038207499,0.998,0.995,1
"Eno1",0.059597027922445,0.997945205624449,0.15,0.118,1
"Surf4",0.0597332040989081,-0.143515117714082,0.178,0.223,1
"Arid4a",0.0599607649547548,-0.101050160252302,0.3,0.364,1
"Xist",0.0599959190167945,0.215982944693811,0.927,0.916,1
"Stard9",0.0600025640451889,-0.362552211509116,0.148,0.186,1
"Col14a1",0.0603890483176038,-0.163974836828472,0.192,0.241,1
"Chd6",0.06040540680588,-0.275308040183778,0.185,0.227,1
"Ftl1-ps1",0.0605506316468231,-0.311811623876271,0.156,0.197,1
"Tnrc6b",0.0607418423531552,-0.108278936809301,0.234,0.289,1
"Ccnl1",0.0608862226003323,-0.171790226992666,0.548,0.607,1
"Eif1ax",0.0609355414236681,0.399203641602518,0.203,0.165,1
"Stard3nl",0.0610361314726422,-0.219057320621864,0.201,0.25,1
"Ctnnb1",0.0610784664642144,-0.243399028470719,0.238,0.284,1
"Rnf213",0.061172743722196,-0.309443306443665,0.172,0.214,1
"Ogt",0.0611802892305662,0.274983127241717,0.275,0.228,1
"Yif1b",0.0613164317182454,0.454430586381741,0.154,0.119,1
"Fbxo3",0.0616672095552943,0.699506789618975,0.103,0.074,1
"Ethe1",0.0616935931937585,-0.359379950420394,0.097,0.132,1
"Ppil4",0.0617144510022636,-0.517576757233953,0.101,0.134,1
"Pomp",0.0617513513123979,0.219383144517278,0.683,0.643,1
"Chd2",0.061764323383978,0.335735635442254,0.306,0.266,1
"Il6ra",0.0617849131357579,-0.206004336007227,0.233,0.288,1
"Camta2",0.0618253966386905,0.421317178419427,0.108,0.077,1
"Slfn2",0.0620608951983825,-0.138165442981859,0.324,0.385,1
"Ier5",0.0628154343157165,-0.221739438099634,0.72,0.742,1
"Snhg1",0.0628623147738437,-0.243672070321431,0.152,0.195,1
"Mtfr1l",0.0628730373943266,0.672809632533001,0.15,0.118,1
"Rnf145",0.0629362391104459,-0.360113572454992,0.092,0.124,1
"Ndufa11",0.0634404116750247,0.46807876412609,0.337,0.305,1
"Secisbp2l",0.0634438030502653,-0.172001544667487,0.185,0.232,1
"Kcnq1ot1",0.0635692551085908,-0.237449797604651,0.187,0.234,1
"Ube2h",0.0635858461823656,0.462016699026274,0.143,0.109,1
"Fgd2",0.0636141431899945,-0.288028698765795,0.189,0.228,1
"Fam91a1",0.0636240662036506,-0.0902046434961823,0.081,0.115,1
"Cept1",0.0636521080376414,-0.370996286300168,0.115,0.153,1
"Cabin1",0.0637785849375097,0.632289048153888,0.143,0.111,1
"Ifi27l2a",0.0641379505647365,-0.239663896711621,0.476,0.531,1
"Sh3bp2",0.0643841061696824,-0.541358980788278,0.081,0.112,1
"Dap3",0.0644284202333333,-0.582999800716268,0.073,0.103,1
"Slc8a1",0.0645345577980676,0.299873970506397,0.148,0.114,1
"Smim11",0.0645906193115561,-0.252089227697958,0.167,0.209,1
"Strbp",0.0646941499020241,0.52554695062456,0.143,0.111,1
"Sec13",0.0648864393428772,0.530728144620498,0.143,0.109,1
"Cisd1",0.0649635046453009,0.624800708450099,0.104,0.076,1
"Mob1b",0.0651201512986112,-0.560007591253425,0.079,0.109,1
"Rnf7",0.0652463874621146,0.31008453562415,0.275,0.235,1
"Klf3",0.0652946340420998,0.400452822463798,0.273,0.234,1
"Rps14",0.0653091505861447,-0.0622648604342126,1,0.996,1
"Smndc1",0.0654864711476153,-0.170279217036758,0.139,0.18,1
"Maff",0.0655052723987285,-0.517052446283321,0.079,0.108,1
"Cyp20a1",0.0655758150447794,0.707855059442952,0.101,0.073,1
"Csrnp1",0.0656037836104155,-0.412025925661446,0.22,0.258,1
"Prxl2a",0.0656571656985135,-0.565060194510606,0.077,0.105,1
"Bcl2l11",0.0657807928754135,-0.160962421382657,0.183,0.23,1
"Synj1",0.0659972721239512,-0.268579552544264,0.201,0.245,1
"Cox20",0.0662029793750464,-0.365427807207162,0.165,0.205,1
"Gas5",0.0663166138018095,-0.166956954249833,0.659,0.688,1
"Sdccag8",0.0665488947931228,0.668688083639303,0.101,0.072,1
"Gpi1",0.0670139137317531,0.464981648787764,0.407,0.384,1
"Fbl",0.0672481148049868,-0.209580853637965,0.176,0.22,1
"Commd9",0.0674191070745824,0.476485574109975,0.117,0.088,1
"Gps2",0.0676804969472392,-0.310742163809015,0.167,0.207,1
"Clec4a1",0.0677261525295043,-0.199731965094361,0.156,0.197,1
"Tnrc6a",0.0678033144849496,-0.211638367778919,0.247,0.295,1
"Evl",0.0678574906666865,-0.0772269247137055,0.159,0.207,1
"Ddx3x",0.0678616434049731,-0.247891185153724,0.515,0.559,1
"Psmb2",0.0678874059341113,-0.159996789418101,0.308,0.358,1
"Rpl10a",0.067990902082481,0.119190267361106,0.98,0.978,1
"Stk38",0.0680615346857817,0.491432596660915,0.271,0.236,1
"Inmt",0.0683286350276646,0.877708070028483,0.103,0.074,1
"Gdi1",0.0683591694947022,-0.383237081177765,0.095,0.128,1
"Rpl36al",0.0684056291511883,-0.101273753601544,0.875,0.882,1
"Bclaf1",0.0690463847644679,-0.223183304295122,0.324,0.37,1
"Pank3",0.0690579724669702,0.59882275995362,0.101,0.073,1
"Adap2os",0.0691958680160114,-0.432701714516803,0.119,0.154,1
"Fam172a",0.0694177677985649,-0.218060292242455,0.103,0.138,1
"Celf1",0.0694549432675725,0.238364058165667,0.242,0.2,1
"Rap1gds1",0.0694626979071968,-0.107936376743134,0.145,0.188,1
"Prpf4b",0.0694648359835047,0.252101842765662,0.533,0.501,1
"Ccnt1",0.0696743832521912,-0.319697757346483,0.161,0.2,1
"Pim1",0.0697566525409035,-0.212950828227608,0.381,0.434,1
"Ciao2b",0.0700251118753052,0.566337054778654,0.198,0.164,1
"Tulp4",0.0702131408860388,0.445208091239496,0.222,0.185,1
"Slc38a6",0.0702617064127929,-0.471231818438187,0.082,0.114,1
"Hck",0.0702749639136427,-0.0437277184865075,0.317,0.372,1
"Nagpa",0.0708017374870974,-0.632260696222306,0.092,0.122,1
"Bccip",0.0708509538962109,-0.338274418338447,0.121,0.157,1
"Cox7b",0.0709255674898943,0.107380111139317,0.636,0.577,1
"Hook3",0.0711572076556589,-0.214482157196354,0.234,0.284,1
"Ppp1ca",0.0716122653143094,0.342643396998837,0.498,0.469,1
"Alas1",0.07165932272023,-0.299671217307466,0.11,0.145,1
"Rpl6",0.0716819145108947,-0.0773244917802165,0.996,0.991,1
"Cndp2",0.0717523303883873,-0.149465059599529,0.225,0.274,1
"Rnf6",0.0719601177622108,-0.208168339700195,0.136,0.174,1
"Xrn1",0.0720356040889729,-0.243833778558935,0.123,0.159,1
"Sp140",0.0720955051958189,-0.215155153580615,0.141,0.18,1
"Dad1",0.0721304746506816,0.180750377057775,0.535,0.503,1
"Hsd17b11",0.0722062364512043,-0.265582271894779,0.207,0.254,1
"Rab11a",0.0722129291338144,0.390921637137173,0.231,0.195,1
"Ppp1r2",0.0723264480833224,-0.240524312095983,0.165,0.205,1
"H1f0",0.0725056643367492,0.463849306948596,0.161,0.13,1
"Laptm5",0.072840469799318,-0.114921996807587,0.826,0.864,1
"Phc2",0.0738392115040361,-0.28224820779985,0.106,0.141,1
"Snd1",0.0738799063758519,0.507845379744866,0.134,0.103,1
"Zfp36",0.0739913936777519,0.0656865211797766,0.916,0.895,1
"Gfpt1",0.0740417403828407,-0.516626062784581,0.097,0.128,1
"Tcp1",0.0742333150095926,-0.209495353239211,0.236,0.281,1
"Frmd4a",0.0743248761536393,-0.342028301074597,0.179,0.22,1
"Tmem173",0.0743459480837605,-0.121869950605104,0.174,0.219,1
"Bag1",0.0745621307017049,0.405806212141542,0.324,0.296,1
"Acadl",0.0748393951499313,0.563149967537325,0.174,0.141,1
"Nrd1",0.0749070029219048,0.416114707799637,0.24,0.203,1
"Luc7l2",0.0750546194733496,-0.176831587250245,0.484,0.539,1
"Clec4a2",0.0750800519125824,-0.0368216072771304,0.344,0.408,1
"Matr3",0.0752345634873142,-0.381885691737844,0.161,0.199,1
"Tle5",0.0753357517983003,0.256022906840592,0.484,0.441,1
"Rnf167",0.0754484994877592,-0.532916476734664,0.104,0.136,1
"Thrap3",0.0754794935711775,0.00533258142127729,0.28,0.345,1
"Npc2",0.0757132428931031,-0.104506793329195,0.826,0.857,1
"Scoc",0.0757388346378735,0.467664755244097,0.225,0.192,1
"Fxyd5",0.0758197172699524,-0.110355279204331,0.515,0.581,1
"Abcg1",0.0760902007765146,-0.257362295586934,0.167,0.207,1
"Eva1b",0.0762143730872817,0.677488946092329,0.119,0.091,1
"BC003965",0.0762206518066968,0.69711537321486,0.106,0.08,1
"Commd6",0.0763902360136193,0.567088089537795,0.187,0.155,1
"Oat",0.0764755449479402,-0.170231416258658,0.147,0.188,1
"Gnaq",0.0766571477933408,0.308534407729256,0.304,0.265,1
"Ptprc",0.0766712815492518,-0.121469710272208,0.636,0.693,1
"Klf4",0.0767126043638166,-0.200493877854542,0.379,0.428,1
"Atpif1",0.0767386454549548,0.172742397083255,0.795,0.755,1
"Phf21a",0.0770366990348095,-0.440483930629985,0.092,0.123,1
"Ccdc88a",0.0772013383900787,-0.36133193289192,0.236,0.277,1
"Pcnp",0.0772717699997967,-0.208407012360813,0.165,0.207,1
"Psenen",0.0772986295323914,0.387167292738174,0.425,0.401,1
"Rps12",0.0779512416407049,-0.0716344204562089,1,0.997,1
"Abcc3",0.0780592754014708,0.427508257100412,0.181,0.147,1
"Rad21",0.0784488295516344,-0.0883174711714684,0.159,0.2,1
"Atp6v1c1",0.079216882711433,-0.255848004269999,0.141,0.178,1
"Ep400",0.0793172621993279,-0.0694370962524515,0.159,0.203,1
"Was",0.0793299626010539,-0.145202953394292,0.203,0.246,1
"Zmat2",0.079539979858782,-0.209109342454897,0.227,0.276,1
"Jmjd6",0.0797771224141001,-0.313887090102585,0.073,0.101,1
"Jagn1",0.0798419431815266,0.743703465018451,0.101,0.074,1
"Cap1",0.0798597945396911,-0.130312990203503,0.341,0.4,1
"Cklf",0.0799939133086972,-0.368370903567544,0.112,0.145,1
"Dapp1",0.0804259499607975,-0.221727781625209,0.143,0.181,1
"Gkap1",0.0804879230224137,0.690163126585563,0.128,0.1,1
"Kmt5a",0.0807641079649993,0.543542667991931,0.134,0.104,1
"Sf1",0.0807736985228394,-0.281382946398901,0.205,0.249,1
"Atp1a1",0.0808041826650036,0.0639742517742361,0.74,0.674,1
"Polr2k",0.0810708889695132,-0.249856736108461,0.178,0.218,1
"Zfp395",0.0812665373701118,-0.343946900069624,0.084,0.115,1
"Tmem14c",0.0814961798226572,0.398480695071462,0.355,0.331,1
"Fam111a",0.0818613204640064,-0.41481461606224,0.198,0.231,1
"Itm2c",0.0818744098241864,-0.156960447533004,0.383,0.438,1
"Srsf1",0.081993138137377,0.358630055334419,0.17,0.138,1
"0610012G03Rik",0.0821088595317666,0.525489981484149,0.267,0.236,1
"Fuca1",0.0821639825340068,0.319702882290845,0.386,0.354,1
"Ctsd",0.0822251115485985,0.34209745693379,0.672,0.681,1
"Lmna",0.0824752412763346,-0.198543452618375,0.179,0.22,1
"Arhgdib",0.0827630480441377,0.191016350125197,0.571,0.572,1
"Psmb3",0.0829158485195967,0.154738270135317,0.46,0.415,1
"Stard3",0.0830177850016956,0.636791170608006,0.123,0.095,1
"Ptprj",0.083522544709081,-0.15797415434933,0.256,0.309,1
"Cnih1",0.0835861400839299,-0.219526842026545,0.077,0.107,1
"Mrpl24",0.0836533552898805,0.493926273181534,0.209,0.176,1
"Ndufv1",0.0840052536204941,0.482995505662549,0.132,0.101,1
"Ncf1",0.0842780143302674,-0.104249963275819,0.313,0.369,1
"Anxa7",0.0843485418164876,-0.296603088178598,0.115,0.147,1
"Cdkn1b",0.0843760197686334,0.307086738036133,0.22,0.18,1
"Pik3cd",0.084387170808196,-0.443787803848022,0.104,0.136,1
"Trmt112",0.0843945779991462,-0.143300376764,0.341,0.392,1
"Timm10b",0.0844869968233021,-0.0829039658938706,0.332,0.392,1
"Cmklr1",0.0845046606868542,-0.372201271061003,0.092,0.122,1
"Ssu72",0.0845352011432053,0.277147456993433,0.289,0.251,1
"Ranbp1",0.0846452805483007,-0.154479870800562,0.247,0.292,1
"Bzw1",0.0846719298165851,-0.208683807995593,0.372,0.422,1
"Higd2a",0.0849588912159902,0.308394289249153,0.302,0.259,1
"Kdm4a",0.0849728126063551,-0.169933475762494,0.081,0.111,1
"Zrsr2",0.0852861566093098,-0.285849998875689,0.148,0.185,1
"Eif3c",0.0853279871396264,0.178829886209525,0.636,0.605,1
"Zbtb7a",0.0853920225259647,-0.242444457442119,0.256,0.296,1
"Hax1",0.0854530996631337,-0.422043968476919,0.077,0.105,1
"Ssbp4",0.0855623642058448,0.444946448454984,0.223,0.192,1
"Tut7",0.0858434868362775,-0.150360154005944,0.364,0.416,1
"Cdk11b",0.0859720195590502,-0.103751179332649,0.233,0.281,1
"Inpp5f",0.0862332699543347,-0.196342648370098,0.073,0.103,1
"Gnai3",0.086285259067603,-0.267227768459617,0.147,0.182,1
"Tbca",0.0862860967498604,-0.190505912705824,0.443,0.486,1
"Renbp",0.086288063154133,0.344031200832751,0.17,0.136,1
"Dennd6a",0.0863094709222584,-0.357700415845467,0.104,0.138,1
"Rprd2",0.0863815108468837,-0.259070204190428,0.086,0.116,1
"Tomm22",0.0864155017330602,0.330986457057084,0.295,0.262,1
"Thumpd3",0.086565597107082,-0.429541789570344,0.084,0.114,1
"Ktn1",0.0865762255501162,-0.0514753719660614,0.238,0.284,1
"Rheb",0.086580492030599,-0.137741490792636,0.255,0.307,1
"Rbm39",0.0867066818544362,0.13926160466659,0.874,0.822,1
"Etv1",0.0867202380685718,0.510551679159862,0.108,0.081,1
"Clec10a",0.0868342138728901,0.465437493935449,0.134,0.104,1
"Ccdc174",0.0868494790352761,-0.196897890246902,0.117,0.153,1
"Zfp90",0.0870668903588564,-0.160937565544238,0.104,0.138,1
"Pirb",0.0871424529830228,-0.134488234466133,0.211,0.254,1
"Npc1",0.0872370916678238,-0.0786540321600139,0.205,0.251,1
"Kansl1",0.0873489687901337,-0.286226428926424,0.183,0.223,1
"Il16",0.0873640814870852,-0.418638809049723,0.095,0.126,1
"Notch1",0.0874883391855997,-0.435544631438454,0.082,0.111,1
"Tmem170b",0.08749394014759,-0.464605017285649,0.086,0.115,1
"Serbp1",0.0875452627198731,0.139894751831823,0.842,0.812,1
"Wdr26",0.0877900388234533,-0.137722738920687,0.282,0.331,1
"Tubb5",0.0879675664705259,-0.0720498501017585,0.374,0.434,1
"Sos2",0.0883044998362053,-0.348628747827421,0.073,0.101,1
"Mpc1",0.0884096489990997,0.245551694805343,0.473,0.428,1
"Hnrnpc",0.0884204759096837,-0.197885869352419,0.31,0.359,1
"Nrp1",0.0887264284839195,-0.0909415446183306,0.342,0.4,1
"Cd48",0.0887472641006614,-0.169106541768215,0.383,0.445,1
"Eloc",0.0888006440848896,-0.13282343545028,0.251,0.296,1
"Plk2",0.0892350194370441,-0.0511008663821743,0.117,0.153,1
"Smim10l1",0.089621815170301,0.419543177318578,0.214,0.18,1
"Tpm3",0.0899071450707389,0.176516671781963,0.643,0.647,1
"Rab32",0.0902630937140382,-0.367258081502935,0.099,0.128,1
"Dusp11",0.090442088854603,-0.175812999745855,0.24,0.286,1
"Lrrc58",0.0907774679012308,-0.2032221126827,0.15,0.189,1
"Herpud1",0.0908135768189957,-0.232630859322502,0.346,0.396,1
"Parp1",0.0909466428372457,-0.020033375007893,0.183,0.228,1
"Bcl10",0.0910429279005006,0.248916689131613,0.377,0.339,1
"Wfdc17",0.0911693368898144,-0.227297096426729,0.535,0.585,1
"Brpf1",0.0913690679836011,-0.332245733193059,0.099,0.13,1
"Skap2",0.0916376035251883,-0.117644328624665,0.427,0.501,1
"Slc38a2",0.091766189771287,-0.0612808788317289,0.396,0.457,1
"Slc25a39",0.0918451551343963,-0.333579519567803,0.123,0.155,1
"Tmed5",0.0921188552737717,-0.205167760218926,0.26,0.308,1
"Dhx40",0.0921883969426127,-0.443182440831017,0.092,0.122,1
"Ppig",0.0923759721873423,-0.157636863307906,0.346,0.396,1
"Ptpa",0.0923807762327873,0.398892552182299,0.158,0.126,1
"Golga5",0.092518507054018,-0.587427059925507,0.079,0.105,1
"H2-D1",0.0927804025516741,-0.0617604384915151,0.929,0.951,1
"Rpl14",0.0928111027196456,0.115375032971913,0.974,0.981,1
"Ccdc34",0.0929253337613876,-0.264395643460397,0.073,0.101,1
"Dusp1",0.0931232730941657,-0.212678455075595,0.835,0.832,1
"Tmem189",0.0933134877170125,-0.210642440891111,0.123,0.158,1
"Ccr5",0.0935606561861608,-0.134856562527036,0.33,0.384,1
"Exoc3",0.0936599428266143,0.321441197275139,0.233,0.199,1
"Slco2b1",0.0936601288139714,-0.193956020542321,0.247,0.293,1
"Tubb2a",0.0938177852976876,-0.184360678067219,0.231,0.276,1
"Btg2",0.0938277181340911,-0.135840713830206,0.963,0.964,1
"Zfp704",0.0942657674352578,-0.164798767485116,0.134,0.17,1
"Ifi30",0.0943125169221297,0.267346778489689,0.462,0.431,1
"Fau",0.0943281425392773,-0.0746420927489746,1,0.997,1
"Coro1a",0.0945296619009421,-0.10986193392317,0.52,0.572,1
"Ddost",0.0948289927520991,-0.159142819797354,0.251,0.295,1
"Mrps33",0.0948678332748294,0.449640231962533,0.297,0.262,1
"Pan3",0.0949049331218513,-0.139470655758109,0.152,0.191,1
"Cotl1",0.0949187324889826,-0.117147461692412,0.507,0.57,1
"Hsd17b10",0.0950945310504769,0.711668209359609,0.172,0.146,1
"Lrp10",0.0954320926770299,0.420140105490487,0.172,0.141,1
"Dot1l",0.0956860911713598,-0.537378285145807,0.082,0.109,1
"Sdf2l1",0.0957028339123093,0.267738128438157,0.275,0.235,1
"Sbno2",0.0957833119127093,-0.130680374042008,0.277,0.327,1
"Cbx5",0.09589413699989,0.200128110637348,0.136,0.104,1
"Rbms1",0.0960795336656924,-0.209328957657253,0.245,0.288,1
"Junb",0.0961353694799549,-0.127256510206643,0.991,0.977,1
"Slc39a1",0.0961730065662823,-0.281878908272017,0.112,0.143,1
"Grb2",0.0961757729282244,-0.0525003863082582,0.432,0.497,1
"Lage3",0.0962381498484317,0.532217453832835,0.123,0.096,1
"Ndufb2",0.0963226064733371,-0.106378770000877,0.192,0.238,1
"Tmem234",0.0969005115867241,0.345085661935245,0.396,0.369,1
"Ebp",0.0970671954058006,0.44329750491307,0.212,0.181,1
"Sdc3",0.0972867303964068,-0.2377843299144,0.284,0.33,1
"Selenop",0.0973725798123249,0.191467421884458,0.777,0.759,1
"Zfp24",0.0974595332012265,-0.239176546344861,0.082,0.111,1
"Glipr1",0.0976983083522571,-0.143994409801902,0.251,0.297,1
"Tmem65",0.097875815325637,0.295676038045714,0.108,0.081,1
"Hmgcs1",0.0979221080252782,-0.182394641964578,0.106,0.138,1
"Comt",0.0979536404152029,0.270525086236876,0.319,0.281,1
"Chchd3",0.0981056854195116,0.576408725452369,0.108,0.082,1
"Fam32a",0.0984283796215222,-0.117286277186337,0.17,0.211,1
"Ireb2",0.0984669221816792,-0.333413723242552,0.073,0.1,1
"Ppp1r12a",0.0985168571671269,-0.247796701764075,0.238,0.278,1
"Pcbp1",0.0986604872456816,-0.118723427037585,0.43,0.484,1
"Atp2b1",0.0987015554869639,-0.0855736469498165,0.623,0.684,1
"Vps54",0.0987906340475702,-0.422281272061127,0.09,0.119,1
"Pycr2",0.0988622968784183,-0.12753399527291,0.073,0.101,1
"Cuedc2",0.0989081758348292,0.518916371321058,0.225,0.193,1
"Tlr13",0.0990072762002936,-0.0706165090820943,0.13,0.166,1
"Fbxo11",0.0990631769098621,-0.376225401773016,0.11,0.141,1
"Cd38",0.0991496213170822,0.7115605717057,0.152,0.124,1
"Yipf5",0.0992305465359376,0.37775754381808,0.132,0.103,1
"Usf2",0.0992525678528173,0.376591572595449,0.306,0.276,1
"Gabpb2",0.0993151559860103,-0.216770775957442,0.093,0.124,1
"Rragc",0.09960043314026,-0.041536227226472,0.201,0.249,1
"Erlin2",0.0998240715665363,-0.282708960275629,0.073,0.1,1
"Ddx21",0.0998572741087739,-0.236979087406979,0.262,0.307,1
"Pltp",0.100043666924186,-0.308987834845802,0.218,0.259,1
"Pgam1",0.10041136526603,0.392678811509174,0.33,0.296,1
"Rilpl2",0.100419813756844,-0.183227046899627,0.218,0.259,1
"Psmd11",0.100475118874634,0.279063745729638,0.2,0.164,1
"Ints6",0.100761286113795,-0.507727853493258,0.092,0.119,1
"Btbd7",0.100862581181804,-0.341709109989051,0.136,0.168,1
"Capns1",0.10094957730035,0.352509441913113,0.394,0.361,1
"Orai1",0.10146551812996,0.292691200812414,0.284,0.247,1
"Dctpp1",0.101509811664164,0.617372017120784,0.13,0.103,1
"Themis2",0.101581057734023,-0.385191434497348,0.134,0.165,1
"Rell1",0.101659159032422,-0.236194930254154,0.106,0.138,1
"Zc3h18",0.101830363396335,-0.340430360370497,0.11,0.141,1
"Ppfia4",0.101949586472124,-0.184749779634298,0.24,0.281,1
"Elf2",0.101978715324539,-0.143891059486549,0.172,0.215,1
"mt-Co1",0.101997529786497,0.0111322542817209,1,1,1
"Hgsnat",0.102304077341994,0.484424551181571,0.108,0.081,1
"Slc45a4",0.102483022932557,-0.179023382820438,0.103,0.135,1
"Atp5c1",0.102548653495008,0.16501180745996,0.617,0.581,1
"Cmas",0.102652717368846,-0.181113534321382,0.092,0.122,1
"Naxd",0.102795889220623,0.545975815539676,0.147,0.118,1
"Suz12",0.102982431204976,0.479718193847863,0.17,0.139,1
"Rpl9-ps6",0.103150755243348,0.475366444856897,0.134,0.105,1
"Mien1",0.103202932723668,0.209882516078165,0.256,0.216,1
"Zc3h13",0.103265647232318,-0.0836736702274222,0.183,0.226,1
"Kdm2b",0.103725872154162,-0.25552108921019,0.103,0.134,1
"Ufl1",0.103747529411156,-0.321296977537954,0.143,0.177,1
"Frrs1",0.103859139578982,-0.343629194553788,0.121,0.153,1
"Atxn2l",0.103986506130408,-0.312900696918385,0.165,0.201,1
"Uqcrh",0.104037196259952,0.106022555164951,0.885,0.872,1
"Macf1",0.104124883526885,0.0917715752225856,0.645,0.605,1
"Ptger4",0.104228564127562,-0.299129119114475,0.258,0.297,1
"Slc35b2",0.104292957938106,-0.27003451739399,0.137,0.173,1
"Bfar",0.104403013281903,-0.183159884196757,0.112,0.145,1
"Flna",0.104407478365868,-0.197252310828125,0.205,0.251,1
"Thap12",0.10460610589087,-0.171798869485674,0.075,0.103,1
"Gspt1",0.104959091348768,0.372905038596189,0.304,0.27,1
"Sh3bp1",0.10513924515189,-0.0430051427809688,0.126,0.164,1
"Ganab",0.105486403116778,0.584657918883173,0.126,0.1,1
"Sp3",0.105723043135414,-0.152320225493841,0.167,0.204,1
"A430005L14Rik",0.105791560231543,0.530810720822654,0.104,0.078,1
"H2-DMb1",0.106018538729477,-0.058266780667849,0.432,0.495,1
"Ripk1",0.106295771519938,-0.159969176162464,0.17,0.208,1
"Hhex",0.106484428328011,-0.233844283534506,0.117,0.15,1
"Mrpl12",0.106519020842253,0.605196197407467,0.161,0.134,1
"Ankhd1",0.10656943561548,-0.152951668600164,0.17,0.207,1
"Pxk",0.10747089472969,-0.0300369188332732,0.088,0.116,1
"Mapk14",0.107700816835201,-0.113224873674619,0.19,0.23,1
"Tma7",0.107898304692872,-0.181428661249188,0.566,0.612,1
"Dnajc8",0.108209847745392,-0.167447777107413,0.264,0.305,1
"Cab39l",0.108530933831766,0.565745884668095,0.115,0.088,1
"Rc3h1",0.108729487478602,-0.213622594069578,0.152,0.189,1
"Ppp2r1a",0.108918468836577,-0.219740903500057,0.136,0.169,1
"Tnks2",0.109097363168725,-0.115671449475171,0.212,0.257,1
"Ncor2",0.109270151839036,-0.283543143168211,0.128,0.162,1
"Rab10os",0.109277189487506,-0.281201681873801,0.077,0.104,1
"Psme4",0.109447044702515,-0.161178723381585,0.15,0.186,1
"Sh3pxd2b",0.10997345553727,-0.286513533379405,0.108,0.136,1
"Tmem50b",0.110398960077541,-0.133752317520202,0.125,0.158,1
"Ist1",0.110497613746281,-0.200361703251825,0.183,0.223,1
"Vdac1",0.110535561406589,-0.147683388869061,0.266,0.312,1
"Ppdpf",0.11059430338475,0.638721268962009,0.132,0.107,1
"Smc1a",0.110726159650567,0.46110603278572,0.33,0.308,1
"Sp1",0.11078357053272,-0.189749912183258,0.103,0.134,1
"Ulk2",0.111212207984953,0.47533886267738,0.205,0.176,1
"Nop10",0.111534591641246,-0.0851220510162443,0.288,0.338,1
"Nenf",0.111573355560027,0.340257244438947,0.295,0.265,1
"Dicer1",0.111684269390154,-0.246000618550127,0.095,0.124,1
"Chmp5",0.112118876780326,0.427993363004255,0.253,0.224,1
"Brd9",0.112120894151124,-0.289200145941292,0.132,0.164,1
"Fmr1",0.11230581970776,-0.0696964162573008,0.104,0.136,1
"Trim44",0.112571403682742,0.376480390610697,0.19,0.155,1
