"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Rassf4",0.00758661470690002,-0.372350157575175,0.262,0.332,1
"Stat2",0.00768291254689868,-0.521081622057785,0.081,0.128,1
"Cd72",0.0076893854286094,-0.0814462988650746,0.341,0.434,1
"Rassf2",0.00769427249321859,-0.37973275646608,0.117,0.17,1
"Kctd12",0.00770648747379493,-0.19835182770709,0.69,0.772,1
"Igsf6",0.00773027827252296,-0.40226316528423,0.236,0.303,1
"Rpl3",0.00776570086692458,0.169295932880369,0.989,0.988,1
"Fbrsl1",0.00779932166651776,-0.454453947982902,0.126,0.181,1
"Tmem258",0.00783445434649632,-0.303401767873931,0.247,0.316,1
"Hcst",0.00786869191034997,-0.369385705662101,0.114,0.168,1
"Gas6",0.00790436610234089,0.446817338919299,0.262,0.203,1
"Eef1d",0.00791020971552197,0.394799054407009,0.487,0.449,1
"Abcc5",0.00798862770704968,0.908363381004213,0.132,0.086,1
"Zfp703",0.00806441740143961,-0.576727567200688,0.179,0.241,1
"Vps4a",0.00827117508689889,-0.367256932021194,0.079,0.127,1
"March2",0.00833733271809072,0.809167426599891,0.137,0.092,1
"Cbr1",0.00845652224233304,0.75799665989612,0.132,0.088,1
"Fam120a",0.00848251435560901,-0.342348683250369,0.128,0.185,1
"D8Ertd738e",0.00861857241431889,0.410532416331004,0.493,0.447,1
"Stom",0.00882584673778919,0.457265523523389,0.183,0.131,1
"Atxn7l3b",0.0088424338014856,0.298491959504737,0.584,0.518,1
"2410006H16Rik",0.00892584847064568,-0.29454613522373,0.421,0.492,1
"Scpep1",0.00896542698681248,-0.198168925788458,0.192,0.262,1
"Clns1a",0.0090740751799829,-0.691196260259715,0.068,0.111,1
"Zfp706",0.00913759766828408,0.53125804933589,0.332,0.278,1
"Cdkn1a",0.00913893236570802,-0.614982102077565,0.218,0.277,1
"Hivep2",0.00934755828299999,-0.6211114549577,0.134,0.186,1
"Atp5md",0.00940777788156501,-0.337071233614376,0.52,0.561,1
"Dnajb4",0.00945342287715494,-0.698431508916449,0.084,0.13,1
"Cops8",0.00951732076124195,-0.482942778191474,0.064,0.107,1
"Cyfip1",0.00959878509056824,0.228002240634115,0.612,0.565,1
"Cd24a",0.00961505458247331,0.617399533697724,0.112,0.07,1
"Morf4l2",0.00966910333948597,-0.312889076828448,0.168,0.231,1
"Ddit3",0.00968923491863924,-0.247990035239183,0.125,0.181,1
"Psen2",0.00974553822969688,-0.414396794576018,0.145,0.2,1
"Aplp2",0.00989257840247237,0.119860165287337,0.734,0.661,1
"Zc3h12a",0.00995599947788982,-0.562712812288132,0.159,0.215,1
"Topors",0.00996007299981094,-0.330292185233966,0.117,0.17,1
"Cmip",0.0102932156436355,0.325938138461593,0.317,0.254,1
"Tmem243",0.0103404637807579,-0.335446232163754,0.141,0.2,1
"Ube2w",0.0104021733324512,-0.606859704668918,0.062,0.104,1
"Ccar1",0.0104249657326801,-0.352223116720166,0.207,0.269,1
"Cxcl16",0.0104581896739235,-0.183191569019844,0.592,0.655,1
"5031439G07Rik",0.0105164296137823,-0.235366807375609,0.145,0.204,1
"Pcna",0.0105927834641481,-0.301372937186856,0.233,0.299,1
"Ube2k",0.010596590796456,-0.295200280586498,0.212,0.274,1
"Mmp14",0.0106892861936373,-0.524762510753767,0.187,0.241,1
"Axl",0.010736427353367,-0.332631173340651,0.421,0.488,1
"Rps2",0.0108481634076004,0.183173653162318,0.991,0.98,1
"Tmem134",0.0110077157567406,0.580355139311117,0.3,0.249,1
"Fosl2",0.0110247952084428,-0.356345838886357,0.209,0.268,1
"Eif5a",0.0110953747409255,0.279303928107298,0.694,0.638,1
"Foxn2",0.0112176710945376,-0.640356362126251,0.084,0.128,1
"1810013L24Rik",0.0112725292873661,-0.652932365608242,0.086,0.13,1
"Tle4",0.0113250841403737,-0.300759612604618,0.286,0.35,1
"Atp5g3",0.0113298505739123,0.387720913082124,0.482,0.416,1
"Pdcd11",0.0113315075125464,-0.60986850007217,0.077,0.12,1
"Gng10",0.0113507262749874,-0.321630998211632,0.238,0.307,1
"Gnb1",0.0114242343412262,0.234785961120408,0.736,0.668,1
"Zbtb20",0.011436991048504,-0.313138562354991,0.238,0.3,1
"H3f3a",0.0114605928910604,0.137416668514621,0.995,0.986,1
"Dctn3",0.011519763948741,0.556509175323529,0.273,0.219,1
"N4bp2l2",0.0115491684601139,-0.51343760759897,0.203,0.261,1
"Tyrobp",0.0116505722152189,0.150798563135881,0.897,0.897,1
"Saraf",0.0116705225525782,0.172192944787966,0.531,0.459,1
"Ncl",0.0117549948305228,-0.133009183485034,0.881,0.904,1
"Pnisr",0.0119988429085004,0.400203647203653,0.429,0.378,1
"Syk",0.0121315938256285,-0.285095281612681,0.19,0.251,1
"Sptbn1",0.0122228732847839,0.257172114424264,0.3,0.236,1
"Ube2i",0.0122600952876219,-0.255121866503468,0.297,0.358,1
"Krit1",0.0124083849158456,-0.634544329290475,0.108,0.157,1
"Il21r",0.0124410551060296,-0.353095069473056,0.158,0.214,1
"Mob1a",0.0125085271908812,-0.291228310804121,0.31,0.377,1
"Rtn1",0.0125835987213056,0.458543960206522,0.194,0.145,1
"Rsf1",0.0125957096918712,-0.0651951468165772,0.17,0.235,1
"Slbp",0.012624074205895,-0.660328432335721,0.147,0.199,1
"Cfl1",0.0126478460248245,-0.129329406002241,0.949,0.941,1
"Ppp4r2",0.0126564463142125,-0.363541145071502,0.168,0.226,1
"Eif5b",0.0127524362479606,-0.204922477956328,0.434,0.509,1
"Map1lc3b",0.0127558560749826,0.26382417187029,0.67,0.609,1
"Cdc37",0.0127619397796935,0.340638070818085,0.361,0.301,1
"Pold4",0.0128024480229723,-0.21251458702206,0.262,0.334,1
"Fcgrt",0.0131081350277172,0.54239934427147,0.319,0.272,1
"Phrf1",0.0132192559506587,-0.542846334923003,0.073,0.115,1
"Sh2b3",0.0132759503718219,-0.587199287139529,0.104,0.151,1
"Zfp91",0.0132818156381416,0.205788019037613,0.484,0.418,1
"Tmbim6",0.0133359049453606,0.207756474946033,0.903,0.822,1
"Fam107b",0.0133968151910961,-0.49042325228668,0.075,0.118,1
"Arid1a",0.0135038787360663,-0.242341885063772,0.256,0.323,1
"Snx5",0.0135669183917822,-0.236678373406473,0.588,0.642,1
"Hnrnpdl",0.0138453052944471,-0.25230940953642,0.227,0.295,1
"Atp5b",0.013874508778744,0.202263056286803,0.804,0.719,1
"Arf4",0.0139666236420211,-0.267456570991587,0.385,0.459,1
"Hnrnpm",0.0139969243109245,0.231125924874802,0.54,0.473,1
"Il10ra",0.0140931737228749,-0.337418480203665,0.251,0.316,1
"Mrpl57",0.0141190706539898,0.586217766994299,0.218,0.168,1
"Ahcyl1",0.0141673078494846,-0.463856679155877,0.104,0.151,1
"Vrk1",0.0142136109423401,-0.541096963089574,0.099,0.145,1
"Tmed2",0.0142329762447912,0.410394907064862,0.425,0.373,1
"Gtf3c6",0.0142376494654696,-0.444003894746174,0.088,0.134,1
"Acbd5",0.0142936069661878,-0.283793002151696,0.187,0.247,1
"Psen1",0.0143073960523494,-0.672837638049685,0.082,0.124,1
"Cited2",0.0143280810420367,-0.297166569011644,0.496,0.554,1
"Tug1",0.0143291969428209,-0.404163950102004,0.11,0.159,1
"Lbh",0.0143630463937825,-0.599049012569959,0.134,0.184,1
"Lrif1",0.0144187318111406,-0.392882235270942,0.108,0.157,1
"Scamp3",0.0144261649857103,-0.659116009990886,0.082,0.124,1
"Eif3h",0.0144710711119825,0.282894381825691,0.548,0.503,1
"Vdac2",0.0144996184687491,0.315199081190194,0.537,0.503,1
"Kxd1",0.0145761683085858,-0.24759084206452,0.145,0.201,1
"Acly",0.0146059471655202,-0.497726531301682,0.086,0.13,1
"Snrpd3",0.0146181159647533,-0.231578928238137,0.218,0.278,1
"Erp44",0.0146890995689839,-0.324123500791043,0.123,0.174,1
"Gm10076",0.0147425481546741,-0.359153781829739,0.676,0.681,1
"Taok3",0.0148864008772243,-0.25497173725429,0.306,0.372,1
"Tpp1",0.0149217474458368,-0.268249845906574,0.271,0.336,1
"Bag6",0.0149385296222147,0.574196009824145,0.126,0.085,1
"Snrpe",0.0151736258648341,-0.207812260321909,0.333,0.408,1
"Srrm2",0.0152925725642084,0.158365513193652,0.903,0.851,1
"Ypel3",0.0154193646363435,0.332391410315544,0.412,0.366,1
"Dhx9",0.0154659820835146,0.651259459615123,0.234,0.186,1
"Sdhc",0.0155143641888238,-0.317817816306116,0.139,0.192,1
"Ctdnep1",0.0155708904232448,-0.180088677296296,0.121,0.176,1
"Eif4ebp2",0.0156780794217449,-0.225706763558572,0.17,0.228,1
"Slc25a5",0.0160677700470586,0.164712376104931,0.766,0.685,1
"Pmaip1",0.0161361835410372,-0.362409657048129,0.196,0.254,1
"Arid1b",0.0163553892218552,-0.450718438329392,0.095,0.139,1
"Ndfip2",0.0165021924710585,0.735040158553843,0.163,0.119,1
"Itga9",0.0165128476676103,-0.50071483164217,0.115,0.162,1
"Arhgap25",0.0165605643271663,-0.441919032519647,0.141,0.191,1
