"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0010628","positive regulation of gene expression",453,-0.266832028896969,-1.44811038573482,0.000163205199150089,0.0163699770805067,0.0149133012602908,904,"tags=26%, list=21%, signal=23%","Med1/Tbc1d23/Scimp/Ago3/Smad2/Pabpc1/Dnmt1/Cybb/Ddx21/Angel2/Ifih1/Ctnnb1/Dicer1/Ddx3x/Ddit3/Tank/Ptafr/Ppp1r15a/Hspa8/Pdgfb/Rock2/Prdm1/Il1b/Tent5c/Cd74/B2m/Plcg2/Icosl/Tmem106a/Hes1/Atf3/Tra2a/Xiap/Pou2f2/Syk/Sh3pxd2b/Fubp1/Isg15/Ezr/Ep300/Serp1/Tlr2/Cited2/Mapkapk2/Ptger4/Casp1/Il18/Nfe2l2/Zbtb20/Rps6kb1/H2-M3/Ifi207/Rela/Sulf2/Ccl4/Tnf/Hmgb2/Fam98b/Rps27l/Tmem135/Upf3b/Tbk1/Il2rg/Casp4/Ccl2/Stat6/Rbm22/Crebbp/Stat3/Id2/Tug1/Peli1/Chuk/Fcgr2b/Il16/Ptk2b/Rif1/Cebpa/Itgax/Rab7b/Notch1/Tra2b/Clec12a/Pik3cd/Foxp1/Rbmxl1/Rlf/Tent5a/Arid5a/Sash3/Irf5/Atf4/Nlrp3/Hsp90aa1/Rel/Ago1/Polr2a/Zswim8/Mmp14/Egr1/Hif1a/Aim2/Slirp/Gsk3a/Dnajb9/Zc3h12a/Zc3hav1/Pde4b/Irf1/Tob1/Psen1/Cadm1/Clns1a/Havcr2/Ptbp1/Abl1/Spn/Ldlr/Ly9/Hspa1b"
"GO:0030098","lymphocyte differentiation",184,-0.336596361616602,-1.6812359054363,0.000217656524468526,0.0212068046137578,0.0193197256427255,954,"tags=34%, list=22%, signal=27%","Il6ra/Cdk6/Fgl2/Tnfaip3/Rc3h1/Tnfsf13b/Smarce1/Hhex/Arid1a/Zbtb7a/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Prdm1/Il1b/Cd74/B2m/Plcg2/Psap/Rpl22/Pou2f2/Syk/Ep300/Ptger4/Il18/Gps2/Jmjd6/H2-M3/Axl/Sos2/Fosl2/Il2rg/Inpp5d/Stat6/Brd2/Stat3/Id2/Il2ra/Ptk2b/Nfkbiz/Mafb/Foxp1/H2-Aa/Sash3/Mink1/Nlrp3/Hsp90aa1/Mmp14/Egr1/Dnajb9/Zc3h12a/Zfp36l2/Sema4a/Sh2b3/Runx3/Irf1/Arid2/Abl1/Spn/Lfng/Ly9"
"GO:0051249","regulation of lymphocyte activation",184,-0.336072306956404,-1.67861835037152,0.000230748406548675,0.0218907369896835,0.0199427985715198,1084,"tags=37%, list=25%, signal=29%","Slc15a4/Btk/Brd4/Sirpa/Rhoh/Lyn/Zfp608/Cd300a/Fgl2/Tnfaip3/Pag1/Rc3h1/Tnfsf13b/Smarce1/Arid1a/Ctnnb1/Zbtb1/Dicer1/Smarcd2/Prdm1/Il1b/Cd74/B2m/Icosl/Hes1/Syk/Ep300/Il18/H2-M3/Ufl1/Irgm1/Axl/Sos2/Il2rg/Inpp5d/Ccl2/H2-Ab1/Stat6/Brd2/Lst1/Themis2/H2-Eb1/Id2/Il2ra/Peli1/Fcgr2b/Rif1/Nfkbiz/Clec12a/Samsn1/H2-Aa/Sash3/Nlrp3/Hsp90aa1/Mmp14/Slamf7/Zc3h12a/Zfp36l2/Tnfrsf1b/Sh2b3/Runx3/Irf1/Cdkn1a/Havcr2/Arid2/Abl1/Spn/Irs2"
"GO:0071347","cellular response to interleukin-1",30,-0.583348977530181,-1.98546669961527,0.000248737686521531,0.022227432302042,0.0202495331870563,920,"tags=63%, list=21%, signal=50%","Myd88/Cfl1/Irak1/Sirpa/Rc3h1/Tank/Il1b/Irak4/Hes1/Ep300/Rela/Ccl2/Rbmxl1/Nfkbia/Egr1/Hif1a/Zc3h12a/Irf1/Cxcl2"
"GO:0032543","mitochondrial translation",59,0.503871996331482,1.94739503029529,0.000261723281203002,0.022227432302042,0.0202495331870563,887,"tags=49%, list=20%, signal=40%","Mrps25/Mrpl12/Mrpl43/Mrpl57/Mrps9/Mrps16/Mrpl51/Mrpl24/Mrpl14/Mrpl34/Mrpl55/Mrpl15/Mrpl28/Mrpl27/Mrps33/Malsu1/Mrps12/Mrps18a/Chchd1/Mrpl20/Mrpl42/Mrps34/Mrps24/Mrps26/Mrps17/Mrpl40/Coa3/Mrpl18/Aurkaip1"
"GO:0046632","alpha-beta T cell differentiation",62,-0.462114543303571,-1.89778667223789,0.000265126099580529,0.022227432302042,0.0202495331870563,697,"tags=37%, list=16%, signal=32%","Prdm1/Psap/Rpl22/Syk/Ep300/Ptger4/Il18/Fosl2/Il2rg/Stat6/Brd2/Stat3/Nfkbiz/Foxp1/Sash3/Nlrp3/Zc3h12a/Sema4a/Runx3/Irf1/Abl1/Spn/Ly9"
"GO:0140053","mitochondrial gene expression",65,0.485365016785607,1.89739550194546,0.000249421353397207,0.022227432302042,0.0202495331870563,887,"tags=48%, list=20%, signal=39%","Hsd17b10/Mrps25/Mrpl12/Mrpl43/Mrpl57/Cfh/Mrps9/Mrps16/Mrpl51/Mrpl24/Mrpl14/Mrpl34/Mrpl55/Mrpl15/Mrpl28/Mrpl27/Mrps33/Malsu1/Mrps12/Mrps18a/Chchd1/Mrpl20/Mrpl42/Mrps34/Mrps24/Mrps26/Mrps17/Mrpl40/Coa3/Mrpl18/Aurkaip1"
"GO:0016071","mRNA metabolic process",365,-0.275426815624076,-1.47206252829629,0.00026309472794069,0.022227432302042,0.0202495331870563,1028,"tags=30%, list=24%, signal=25%","Atf2/Sp1/Tent2/Ago2/Etf1/Acin1/Rbm28/Flna/Hnrnpc/Prdx6/Snrpe/Zmat2/Hnrnpa1/Tnrc6a/Rc3h1/Med1/Ago3/Rsrp1/Prpf6/Pabpc1/Snrpd3/Malat1/Casc3/Zfp326/Sde2/Angel2/Zbtb7a/Xrn1/Zbtb1/Dicer1/Son/Hspa8/Samd4b/Upf2/Hnrnpdl/Alyref/Rock2/Tent5c/Rprd2/Lsm8/Tia1/Srsf7/Tra2a/Mbnl2/Sf1/Zrsr2/Htatsf1/Mapkapk2/Cnot6/Iws1/Cwf19l2/Isy1/Atxn2l/Jmjd6/Wbp11/Mbnl1/Upf3b/Snrpa1/Ppp4r2/Snrpg/Khsrp/Usp4/Rbm22/Smg1/Exosc8/Ncbp3/Stat3/Nfkbiz/Tra2b/Chd8/Dhx40/Snrpb2/Rbbp6/Rbmxl1/Ik/Dhx8/Ahcyl1/Aqr/Tent5a/Arid5a/Dhx15/Atf4/Scaf8/Virma/Ago1/Srsf2/Srsf10/Phrf1/Lsm5/Slirp/Pcf11/Zc3h12a/Zc3hav1/Zfp36l2/Srek1ip1/Crnkl1/Tob1/Dkc1/Cbll1/Slbp/Dcp2/Snrpf/Srrt/Clns1a/Ptbp1/Taf13/Hspa1a/Hspa1b"
"GO:0002221","pattern recognition receptor signaling pathway",126,-0.363310148417294,-1.70118426071598,0.000296105507955428,0.024260462640439,0.0221016551392568,1002,"tags=37%, list=23%, signal=30%","Slc15a4/Btk/Akt1/Lyn/Ubqln1/Rnf115/Ppt1/Cd300a/Tnfaip3/Scimp/Ifih1/Ddx3x/Hspa8/Plcg2/Ipo5/Pcbp2/Xiap/Syk/Smpdl3a/Tlr2/Mapkapk2/Ddx60/Casp1/Gps2/Irgm1/Ifi207/Rela/Tnf/Mapkapk3/Tbk1/Casp4/Nmi/Gdi1/Trim25/Peli1/Chuk/Nfkbiz/Rab7b/Nlrp3/Nfkbia/Aim2/Tnip1/Zc3hav1/Irf1/Slc15a3/Havcr2/Hspa1b"
"GO:0032655","regulation of interleukin-12 production",24,-0.630791699316746,-2.07508590380244,0.000329612254156841,0.0252819611964982,0.0230322560575441,887,"tags=50%, list=20%, signal=40%","Scimp/Plcg2/Syk/Tlr2/H2-M3/Rela/Cmklr1/Il16/Foxp1/Rel/Irf1/Acp5"
"GO:0022409","positive regulation of cell-cell adhesion",120,-0.365405084381444,-1.69589124853817,0.000320372527383964,0.0252819611964982,0.0230322560575441,826,"tags=32%, list=19%, signal=26%","Arid1a/Zbtb1/Smarcd2/Ptafr/Il1b/Cd74/B2m/Icosl/Hes1/Syk/Ep300/Cited2/Itga6/Il18/H2-M3/Irgm1/Rela/Tnf/Il2rg/Dennd6a/Ccl2/H2-Ab1/Brd2/H2-Eb1/Il2ra/Nfkbiz/H2-Aa/Sash3/Nlrp3/Hsp90aa1/Runx3/Irf1/Havcr2/Arid2/Plaur/Abl1/Icam1/Spn"
